date,bjwm,wm,AQI
3月22日,1751,4388,179
3月23日,1447,4039,159
3月24日,1125,3086,82
3月25日,762,3304,49
3月26日,548,3102,45
3月27日,589,2619,45
3月28日,814,2652,82
3月29日,1350,3608,148
3月30日,1355,3603,114
3月31日,772,2731,48
4月1日,752,2495,69
4月2日,885,2474,93
4月3日,1575,3477,165
4月4日,2151,4434,163
4月5日,1480,4250,83
4月6日,1513,4540,129
4月7日,1396,3844,84
4月8日,1236,3590,104
4月9日,941,3125,87
4月10日,999,2855,89
4月11日,592,2594,59
4月12日,614,2348,71
4月13日,745,2490,92
4月14日,743,2146,93
4月15日,438,2158,71
4月16日,1125,2915,128
4月17日,1607,3411,162
4月18日,664,2381,66
4月19日,679,2593,89
4月20日,517,2375,70
4月21日,493,1912,57
4月22日,441,1886,87
4月23日,409,1957,63
4月24日,406,1949,67
4月25日,415,2048,41
4月26日,403,1927,52
4月27日,356,1912,55
4月28日,372,1767,63
4月29日,348,1621,79
4月30日,485,1745,108
5月1日,465,1857,81
5月2日,553,1897,129
5月3日,653,2099,93
5月4日,4575,7332,500
5月5日,2713,6068,411
5月6日,772,3357,74
5月7日,611,2876,82
5月8日,702,2555,102
5月9日,585,2328,100
5月10日,569,2434,79
5月11日,696,2235,92
5月12日,430,2063,102
5月13日,438,1920,63
5月14日,437,2293,68
5月15日,417,1986,80
5月16日,416,1982,127
5月17日,536,2043,184
5月18日,618,2167,201
5月19日,771,2117,185
5月20日,412,1985,169
5月21日,435,2199,113
